smiles,T,P,cp_inter,cp_intra,cp_pv,cp,red_T
CC(C)(C)C,173.0,1.0,51.058725961243645,73.18190065092487,0.0102554340909611,124.25088204625948,0.3984184594926512
CC(C)(C)C,187.0,1.0,52.11569996515429,78.40674209611252,0.0114912805629018,130.5339333418297,0.4306604157521721
CC(C)(C)C,202.0,1.0,53.2481721122014,83.94434285394495,0.012952543464598,137.20546750961094,0.465205368887373
CC(C)(C)C,216.0,1.0,54.30514611611205,89.05506687404714,0.0144425331579593,143.37465552331716,0.497447325146894
CC(C)(C)C,231.0,1.0,55.43761826315915,94.46766860499696,0.0161192171823105,149.92140608533842,0.5319922782820949
CC(C)(C)C,245.0,1.0,56.4945922670698,99.45929622689268,0.0178481217806555,155.97173661574314,0.5642342345416158
CC(C)(C)C,260.0,1.0,57.62706441411692,104.74181944994169,0.0199532406724875,162.3888371047311,0.5987791876768168
CC(C)(C)C,274.0,1.0,58.68403841802756,109.60984794885128,0.0220936432892485,168.3159800101681,0.6310211439363377
CC(C)(C)C,289.0,1.0,59.81651056507467,114.7577234490612,0.0245660418382656,174.59880005597412,0.6655660970715387
CC(C)(C)C,303.0,1.0,60.87348456898532,119.49812634854624,0.0272152119769615,180.3988261295085,0.6978080533310596
CC(C)(C)C,318.0,1.0,62.00595671603243,124.5072951770588,0.0304110534484133,186.54366294653963,0.7323530064662606
CC(C)(C)C,332.0,1.0,63.06293071994307,129.1165222490223,0.0338784701944029,192.21333143915976,0.7645949627257814
CC(C)(C)C,347.0,1.0,64.1954028669902,133.98343572305922,0.0381348738258072,198.2169734638752,0.7991399158609824
CC(C)(C)C,361.0,1.0,65.25237687090082,138.45841298774533,0.0433162386789416,203.7541060973251,0.8313818721205033
CC(C)(C)C,376.0,1.0,66.38484901794794,143.1800326906083,0.0503596905386143,209.61524139909488,0.8659268252557043
CC(C)(C)C,390.0,1.0,67.44182302185858,147.51816241660265,0.0612046527972434,215.0211900912585,0.8981687815152252
CC(C)C,163.0,1.0,43.272168082323184,56.38058020711472,0.0083113481902557,99.66105963762816,0.3982940714879222
CC(C)C,177.0,1.0,44.93068863260519,60.133582388403696,0.0096215323904234,105.07389255339932,0.432503378241486
CC(C)C,190.0,1.0,46.47074342929562,63.61302678637077,0.0109179413266185,110.09468815699302,0.464269163084081
CC(C)C,204.0,1.0,48.129263979577615,67.3518059377905,0.0124071591396828,115.4934770765078,0.4984784698376449
CC(C)C,218.0,1.0,49.78778452985963,71.07953744660163,0.0140959628441423,120.8814179393054,0.5326877765912088
CC(C)C,231.0,1.0,51.327839326550055,74.52900131898092,0.0157882749741597,125.87262892050514,0.5644535614338038
CC(C)C,245.0,1.0,52.98635987683206,78.22868145988765,0.0178011084404229,131.23284244516012,0.5986628681873677
CC(C)C,259.0,1.0,54.64488042711407,81.91046066375804,0.0199964317948274,136.57533752266693,0.6328721749409315
CC(C)C,272.0,1.0,56.1849352238045,85.31130724560059,0.0222460741878162,141.51848854359292,0.6646379597835266
CC(C)C,286.0,1.0,57.84345577408651,88.95242928395183,0.0249924436565077,146.82087750169484,0.6988472665370904
CC(C)C,300.0,1.0,59.501976324368506,92.56943100068658,0.0283595696899116,152.099766894745,0.7330565732906543
CC(C)C,313.0,1.0,61.04203112105894,95.90474737372088,0.0315760519682032,156.97835454674802,0.7648223581332493
CC(C)C,327.0,1.0,62.70055167134095,99.46970866774213,0.0358061939674412,162.20606653305052,0.7990316648868132
CC(C)C,341.0,1.0,64.35907222162295,103.00496416541432,0.0412978510470847,167.40533423808438,0.833240971640377
CC(C)C,354.0,1.0,65.89912701831338,106.25956125804628,0.0482952782521722,172.20698355461184,0.8650067564829721
CC(C)C,368.0,1.0,67.55764756859539,109.73261561623104,0.0610139056490721,177.3512770904755,0.8992160632365359
CC(C)C(C(C)(C)C)C(C)(C)C,271.0,1.0,62.28509067002011,254.5361937264798,0.0143325638604249,316.8356169603603,0.3996836525903344
CC(C)C(C(C)(C)C)C(C)(C)C,294.0,1.0,63.27502562782089,273.80434376385887,0.0160411316393459,337.09541052331906,0.4336051434005842
CC(C)C(C(C)(C)C)C(C)(C)C,316.0,1.0,64.2219199352825,291.8159466550834,0.0177664662892419,356.0556330566551,0.4660517867843014
CC(C)C(C(C)(C)C)C(C)(C)C,339.0,1.0,65.21185489308328,310.20381892058214,0.019886199376786,375.4355600130422,0.4999732775945512
CC(C)C(C(C)(C)C)C(C)(C)C,361.0,1.0,66.1587492005449,327.3653475011076,0.0218071795156285,393.5459038811681,0.5324199209782684
CC(C)C(C(C)(C)C)C(C)(C)C,384.0,1.0,67.14868415834569,344.85749011239426,0.024049333850767,412.03022360459073,0.5663414117885182
CC(C)C(C(C)(C)C)C(C)(C)C,407.0,1.0,68.13861911614646,361.8876716265351,0.0266325434274436,430.052923286109,0.6002629025987679
CC(C)C(C(C)(C)C)C(C)(C)C,429.0,1.0,69.08551342360808,377.7434641583429,0.0297141898454629,446.8586917717964,0.6327095459824852
CC(C)C(C(C)(C)C)C(C)(C)C,452.0,1.0,70.07544838140886,393.8652689488529,0.0325338244852785,463.973251154747,0.6666310367927349
CC(C)C(C(C)(C)C)C(C)(C)C,474.0,1.0,71.02234268887048,408.8508844752204,0.0362196054782683,479.9094467695692,0.6990776801764521
CC(C)C(C(C)(C)C)C(C)(C)C,497.0,1.0,72.01227764667125,424.0630256560826,0.040072667703055,496.11537597045685,0.7329991709867019
CC(C)C(C(C)(C)C)C(C)(C)C,520.0,1.0,73.00221260447204,438.8115540772026,0.0449127424409952,511.8586794241157,0.7669206617969517
CC(C)C(C(C)(C)C)C(C)(C)C,542.0,1.0,73.94910691193367,452.4867626904969,0.0501606514943413,526.4860302539249,0.7993673051806689
CC(C)C(C(C)(C)C)C(C)(C)C,565.0,1.0,74.93904186973445,466.3343853158706,0.0562893601761082,541.3297165457813,0.8332887959909187
CC(C)C(C(C)(C)C)C(C)(C)C,587.0,1.0,75.88593617719606,479.1533375921128,0.0641577715275275,555.1034315408364,0.8657354393746358
